Test Case            Simple Avg      Simple Std Dev       Assertions Avg       Assertions Std Dev        Difference Avg       Combined Std Dev    
robot                0.836           0.059                1.079                0.109                     0.243                0.124               
half_adder           1.003           0.154                1.389                0.227                     0.386                0.274               
full_adder           1.042           0.104                1.501                0.083                     0.459                0.133               
bit2_adder           1.088           0.121                1.677                0.223                     0.589                0.254               
bit4_adder           1.173           0.109                3.738                0.822                     2.565                0.829               
alu2                 1.665           0.089                2.343                0.271                     0.678                0.285               
alu4                 1.682           0.142                2.901                0.346                     1.219                0.374               
alu8                 1.329           0.159                4.099                1.373                     2.770                1.382               
alu16                1.219           0.113                4.831                0.434                     3.612                0.448               
alu31                1.389           0.175                10.478               1.510                     9.089                1.520               
alu62                1.548           0.172                26.148               2.449                     24.600               2.455               
