Test Case            Min        Max        Average         Standard Deviation  
ALU 2                1.506      1.870      1.665           0.089               
ALU 2 Assert         1.882      3.422      2.343           0.271               
ALU 4                1.388      2.107      1.682           0.142               
ALU 4 Assert         2.441      4.227      2.901           0.346               
ALU 8                1.097      1.774      1.329           0.159               
ALU 8 Assert         3.095      11.213     4.099           1.373               
ALU 16               0.965      1.496      1.219           0.113               
ALU 16 Assert        4.361      6.282      4.831           0.434               
ALU 31               0.968      2.052      1.389           0.175               
ALU 31 Assert        8.549      17.758     10.478          1.510               
ALU 62               1.278      2.109      1.548           0.172               
ALU 62 Assert        23.021     32.276     26.148          2.449               
