Test Case            Min        Max        Average         Standard Deviation  
Robot                0.960      1.726      1.312           0.250               
Half Adder           1.426      1.850      1.675           0.134               
Full Adder           1.581      3.391      1.884           0.474               
ALU                  7.691      9.725      8.467           0.685               
Robot                1.469      5.805      1.899           0.914               
Robot Assert         1.691      3.554      2.091           0.418               
Half Adder           1.768      4.720      2.366           0.505               
Half Adder Assert    2.177      5.249      2.744           0.627               
Full Adder           1.496      2.247      1.842           0.137               
Full Adder Assert    1.840      5.141      2.621           0.588               
Bit 2 Adder          1.246      2.118      1.583           0.188               
Bit 2 Adder Assert   2.069      3.843      2.458           0.410               
Bit 4 Adder          1.400      4.870      2.074           0.681               
Bit 4 Adder Assert   3.501      5.989      4.294           0.604               
