Test Case            Simple Avg      Simple Std Dev       Assertions Avg       Assertions Std Dev        Difference Avg       Combined Std Dev    
robot                30.203          2.588                29.555               2.061                     0.648                3.308               
half_adder           21.987          1.555                22.772               2.210                     0.785                2.702               
full_adder           30.211          2.969                29.000               2.497                     1.211                3.879               
bit2_adder           47.575          2.843                108.290              5.675                     60.715               6.347               
bit4_adder           142.874         10.166               1927.622             31.678                    1784.748             33.269              
alu2                 49.805          3.662                56.924               5.160                     7.119                6.327               
alu4                 49.975          3.117                55.437               3.189                     5.462                4.459               
alu8                 50.890          3.508                55.468               2.664                     4.578                4.405               
alu16                50.516          3.758                55.750               3.629                     5.234                5.224               
alu31                51.133          3.287                55.211               2.602                     4.078                4.192               
alu62                78.480          5.070                130.587              8.321                     52.107               9.744               
