Test Case            Simple Avg      Simple Std Dev       Assertions Avg       Assertions Std Dev        Difference Avg       Combined Std Dev    
robot                30.203          2.588                29.555               2.061                     0.648                3.308               
half_adder           21.987          1.555                22.772               2.210                     0.785                2.702               
full_adder           30.211          2.969                29.000               2.497                     1.211                3.879               
bit2_adder           47.575          2.843                108.290              5.675                     60.715               6.347               
bit4_adder           142.874         10.166               1927.622             31.678                    1784.748             33.269              
alu2                 112.442         10.281               118.202              9.747                     5.760                14.167              
alu4                 114.019         8.750                115.228              9.109                     1.209                12.631              
alu8                 111.191         9.266                117.284              8.483                     6.093                12.563              
alu16                110.348         10.219               115.801              10.527                    5.453                14.671              
alu31                111.384         8.050                116.922              9.695                     5.538                12.601              
alu62                75.298          6.067                124.311              7.936                     49.013               9.989               
