Test Case            Min        Max        Average         Standard Deviation  
ALU 2                44.466     58.344     49.805          3.662               
ALU 2 Assert         50.048     77.371     56.924          5.160               
ALU 4                44.740     56.527     49.975          3.117               
ALU 4 Assert         49.747     61.801     55.437          3.189               
ALU 8                45.369     61.065     50.890          3.508               
ALU 8 Assert         50.739     59.858     55.468          2.664               
ALU 16               44.939     63.272     50.516          3.758               
ALU 16 Assert        48.997     63.135     55.750          3.629               
ALU 31               44.566     62.281     51.133          3.287               
ALU 31 Assert*       49.165     60.175     55.211          2.602               
ALU 62               69.997     86.178     78.480          5.070               
ALU 62 Assert        118.696    163.792    130.587         8.321               
